id,state,year,deaths,lat,long,createdAt,updatedAt
1,AK,2016,1594,66.1605,-153.369,,
2,AK,2017,1571,66.1605,-153.369,,
3,AK,2018,1442,66.1605,-153.369,,
4,AK,2019,1544,66.1605,-153.369,,
5,AL,2015,8818,32.3182,-86.9023,,
6,AL,2016,8324,32.3182,-86.9023,,
7,AL,2017,9551,32.3182,-86.9023,,
8,AL,2018,8413,32.3182,-86.9023,,
9,AL,2019,8643,32.3182,-86.9023,,
10,AR,2015,4616,34.8,-92.2,,
11,AR,2016,4513,34.8,-92.2,,
12,AR,2017,4775,34.8,-92.2,,
13,AR,2018,4838,34.8,-92.2,,
14,AR,2019,4749,34.8,-92.2,,
15,AZ,2015,14590,34.0489,-111.094,,
16,AZ,2016,16403,34.0489,-111.094,,
17,AZ,2017,17552,34.0489,-111.094,,
18,AZ,2018,19683,34.0489,-111.094,,
19,AZ,2019,21988,34.0489,-111.094,,
20,CA,2015,56001,36.7783,-119.418,,
21,CA,2016,57154,36.7783,-119.418,,
22,CA,2017,58406,36.7783,-119.418,,
23,CA,2018,63121,36.7783,-119.418,,
24,CA,2019,70828,36.7783,-119.418,,
25,CO,2015,11091,39.113,-105.359,,
26,CO,2016,11137,39.113,-105.359,,
27,CO,2017,12046,39.113,-105.359,,
28,CO,2018,12402,39.113,-105.359,,
29,CO,2019,12262,39.113,-105.359,,
30,CT,2015,8451,41.6032,-73.0877,,
31,CT,2016,10776,41.6032,-73.0877,,
32,CT,2017,11576,41.6032,-73.0877,,
33,CT,2018,12822,41.6032,-73.0877,,
34,CT,2019,13631,41.6032,-73.0877,,
35,DC,2015,1447,38.9072,-77.0369,,
36,DC,2016,2586,38.9072,-77.0369,,
37,DC,2017,4369,38.9072,-77.0369,,
38,DC,2018,3610,38.9072,-77.0369,,
39,DC,2019,3800,38.9072,-77.0369,,
40,DE,2015,2391,37.0902,-95.7129,,
41,DE,2016,2724,37.0902,-95.7129,,
42,DE,2017,3866,37.0902,-95.7129,,
43,DE,2018,4462,37.0902,-95.7129,,
44,DE,2019,4905,37.0902,-95.7129,,
45,FL,2015,36892,27.6648,-81.5158,,
46,FL,2016,48380,27.6648,-81.5158,,
47,FL,2017,65444,27.6648,-81.5158,,
48,FL,2018,61872,27.6648,-81.5158,,
49,FL,2019,61709,27.6648,-81.5158,,
50,GA,2015,15499,32.1656,-82.9001,,
51,GA,2016,15538,32.1656,-82.9001,,
52,GA,2017,17723,32.1656,-82.9001,,
53,GA,2018,17255,32.1656,-82.9001,,
54,GA,2019,16496,32.1656,-82.9001,,
55,HI,2015,1884,19.7418,-155.844,,
56,HI,2016,2294,19.7418,-155.844,,
57,HI,2017,2312,19.7418,-155.844,,
58,HI,2018,2604,19.7418,-155.844,,
59,HI,2019,2768,19.7418,-155.844,,
60,IA,2015,3471,41.878,-93.0977,,
61,IA,2016,3725,41.878,-93.0977,,
62,IA,2017,3983,41.878,-93.0977,,
63,IA,2018,3681,41.878,-93.0977,,
64,IA,2019,3615,41.878,-93.0977,,
65,ID,2015,2570,44.0682,-114.742,,
66,ID,2016,2623,44.0682,-114.742,,
67,ID,2017,2807,44.0682,-114.742,,
68,ID,2018,2798,44.0682,-114.742,,
69,ID,2019,3060,44.0682,-114.742,,
70,IL,2015,21218,40.6331,-89.3985,,
71,IL,2016,26227,40.6331,-89.3985,,
72,IL,2017,31024,40.6331,-89.3985,,
73,IL,2018,33526,40.6331,-89.3985,,
74,IL,2019,31900,40.6331,-89.3985,,
75,IN,2015,14427,40.2672,-86.1349,,
76,IN,2016,13490,40.2672,-86.1349,,
77,IN,2017,20889,40.2672,-86.1349,,
78,IN,2018,20276,40.2672,-86.1349,,
79,IN,2019,19531,40.2672,-86.1349,,
80,KS,2015,3926,39.0119,-98.4842,,
81,KS,2016,3774,39.0119,-98.4842,,
82,KS,2017,3771,39.0119,-98.4842,,
83,KS,2018,4045,39.0119,-98.4842,,
84,KS,2019,4433,39.0119,-98.4842,,
85,KY,2015,14286,37.8393,-84.27,,
86,KY,2016,16155,37.8393,-84.27,,
87,KY,2017,18737,37.8393,-84.27,,
88,KY,2018,16868,37.8393,-84.27,,
89,KY,2019,15953,37.8393,-84.27,,
90,LA,2015,9800,30.3918,-92.3291,,
91,LA,2016,11393,30.3918,-92.3291,,
92,LA,2017,12344,30.3918,-92.3291,,
93,LA,2018,14199,30.3918,-92.3291,,
94,LA,2019,14135,30.3918,-92.3291,,
95,MA,2015,17638,42.4072,-71.3824,,
96,MA,2016,23951,42.4072,-71.3824,,
97,MA,2017,25670,42.4072,-71.3824,,
98,MA,2018,26808,42.4072,-71.3824,,
99,MA,2019,26273,42.4072,-71.3824,,
100,MD,2015,14101,39.0458,-76.6413,,
101,MD,2016,20291,39.0458,-76.6413,,
102,MD,2017,27014,39.0458,-76.6413,,
103,MD,2018,28816,39.0458,-76.6413,,
104,MD,2019,28002,39.0458,-76.6413,,
105,ME,2015,2940,45.3676,-68.9722,,
106,ME,2016,3796,45.3676,-68.9722,,
107,ME,2017,4494,45.3676,-68.9722,,
108,ME,2018,4705,45.3676,-68.9722,,
109,ME,2019,3991,45.3676,-68.9722,,
110,MI,2015,23417,44.1822,-84.5068,,
111,MI,2016,24245,44.1822,-84.5068,,
112,MI,2017,31175,44.1822,-84.5068,,
113,MI,2018,29286,44.1822,-84.5068,,
114,MI,2019,28803,44.1822,-84.5068,,
115,MN,2015,6669,46.7296,-94.6859,,
116,MN,2016,7021,46.7296,-94.6859,,
117,MN,2017,8288,46.7296,-94.6859,,
118,MN,2018,8140,46.7296,-94.6859,,
119,MN,2019,8585,46.7296,-94.6859,,
120,MO,2015,13090,37.9643,-91.8318,,
121,MO,2016,14478,37.9643,-91.8318,,
122,MO,2017,16847,37.9643,-91.8318,,
123,MO,2018,18111,37.9643,-91.8318,,
124,MO,2019,19399,37.9643,-91.8318,,
125,MS,2015,3907,33,-90,,
126,MS,2016,3933,33,-90,,
127,MS,2017,3911,33,-90,,
128,MS,2018,3767,33,-90,,
129,MS,2019,3822,33,-90,,
130,MT,2015,1527,46.8797,-110.363,,
131,MT,2016,1477,46.8797,-110.363,,
132,MT,2017,1465,46.8797,-110.363,,
133,MT,2018,1290,46.8797,-110.363,,
134,MT,2019,1566,46.8797,-110.363,,
135,NC,2015,17006,35.7596,-79.0193,,
136,NC,2016,21361,35.7596,-79.0193,,
137,NC,2017,26214,35.7596,-79.0193,,
138,NC,2018,27332,35.7596,-79.0193,,
139,NC,2019,27184,35.7596,-79.0193,,
140,ND,2015,799,47.5515,-101.002,,
141,ND,2016,828,47.5515,-101.002,,
142,ND,2017,950,47.5515,-101.002,,
143,ND,2018,879,47.5515,-101.002,,
144,ND,2019,951,47.5515,-101.002,,
145,NE,2015,1547,41.4925,-99.9018,,
146,NE,2016,1425,41.4925,-99.9018,,
147,NE,2017,1512,41.4925,-99.9018,,
148,NE,2018,1861,41.4925,-99.9018,,
149,NE,2019,1747,41.4925,-99.9018,,
150,NH,2015,3554,43.1939,-71.5724,,
151,NH,2016,5256,43.1939,-71.5724,,
152,NH,2017,5524,43.1939,-71.5724,,
153,NH,2018,5514,43.1939,-71.5724,,
154,NH,2019,3792,43.1939,-71.5724,,
155,NJ,2015,15849,40.0583,-74.4057,,
156,NJ,2016,20055,40.0583,-74.4057,,
157,NJ,2017,28586,40.0583,-74.4057,,
158,NJ,2018,32488,40.0583,-74.4057,,
159,NJ,2019,33118,40.0583,-74.4057,,
160,NM,2015,6291,34.5199,-105.87,,
161,NM,2016,5881,34.5199,-105.87,,
162,NM,2017,6036,34.5199,-105.87,,
163,NM,2018,5995,34.5199,-105.87,,
164,NM,2019,6647,34.5199,-105.87,,
165,NV,2015,7342,38.8026,-116.419,,
166,NV,2016,8457,38.8026,-116.419,,
167,NV,2017,8748,38.8026,-116.419,,
168,NV,2018,8849,38.8026,-116.419,,
169,NV,2019,8917,38.8026,-116.419,,
170,NY,2015,19990,40.7128,-74.006,,
171,NY,2016,24820,40.7128,-74.006,,
172,NY,2017,28892,40.7128,-74.006,,
173,NY,2018,27236,40.7128,-74.006,,
174,NY,2019,25177,40.7128,-74.006,,
175,OH,2015,36893,40.4173,-82.9071,,
176,OH,2016,45503,40.4173,-82.9071,,
177,OH,2017,60794,40.4173,-82.9071,,
178,OH,2018,51571,40.4173,-82.9071,,
179,OH,2019,49600,40.4173,-82.9071,,
180,OK,2015,8944,36.9945,-95.6203,,
181,OK,2016,8913,36.9945,-95.6203,,
182,OK,2017,9867,36.9945,-95.6203,,
183,OK,2018,8624,36.9945,-95.6203,,
184,OK,2019,7467,36.9945,-95.6203,,
185,OR,2015,6129,44,-120.5,,
186,OR,2016,6002,44,-120.5,,
187,OR,2017,6199,44,-120.5,,
188,OR,2018,6089,44,-120.5,,
189,OR,2019,6937,44,-120.5,,
190,PA,2015,36077,41.2033,-77.1945,,
191,PA,2016,45980,41.2033,-77.1945,,
192,PA,2017,64683,41.2033,-77.1945,,
193,PA,2018,57391,41.2033,-77.1945,,
194,PA,2019,52046,41.2033,-77.1945,,
195,RI,2015,3517,41.5801,-71.4774,,
196,RI,2016,3978,41.5801,-71.4774,,
197,RI,2017,3986,41.5801,-71.4774,,
198,RI,2018,3906,41.5801,-71.4774,,
199,RI,2019,4056,41.5801,-71.4774,,
200,SC,2015,8692,33.8361,-81.1637,,
201,SC,2016,9569,33.8361,-81.1637,,
202,SC,2017,11678,33.8361,-81.1637,,
203,SC,2018,12542,33.8361,-81.1637,,
204,SC,2019,13147,33.8361,-81.1637,,
205,SD,2015,727,43.9695,-99.9018,,
206,SD,2016,809,43.9695,-99.9018,,
207,SD,2017,891,43.9695,-99.9018,,
208,SD,2018,732,43.9695,-99.9018,,
209,SD,2019,882,43.9695,-99.9018,,
210,TN,2015,16367,35.5175,-86.5804,,
211,TN,2016,18632,35.5175,-86.5804,,
212,TN,2017,20761,35.5175,-86.5804,,
213,TN,2018,21758,35.5175,-86.5804,,
214,TN,2019,23769,35.5175,-86.5804,,
215,TX,2015,30794,31.9686,-99.9018,,
216,TX,2016,32557,31.9686,-99.9018,,
217,TX,2017,34262,31.9686,-99.9018,,
218,TX,2018,35934,31.9686,-99.9018,,
219,TX,2019,35773,31.9686,-99.9018,,
220,US,2015,601011,37.0902,-95.7129,,
221,US,2016,696602,37.0902,-95.7129,,
222,US,2017,825837,37.0902,-95.7129,,
223,US,2018,825995,37.0902,-95.7129,,
224,US,2019,821765,37.0902,-95.7129,,
225,UT,2015,7433,39.4192,-111.951,,
226,UT,2016,8333,39.4192,-111.951,,
227,UT,2017,7485,39.4192,-111.951,,
228,UT,2018,7836,39.4192,-111.951,,
229,UT,2019,6984,39.4192,-111.951,,
230,VA,2015,11819,37.6814,-97.2747,,
231,VA,2016,14327,37.6814,-97.2747,,
232,VA,2017,17070,37.6814,-97.2747,,
233,VA,2018,17155,37.6814,-97.2747,,
234,VA,2019,17822,37.6814,-97.2747,,
235,VT,2015,1094,44.5588,-72.5778,,
236,VT,2016,1363,44.5588,-72.5778,,
237,VT,2017,1633,44.5588,-72.5778,,
238,VT,2018,1614,44.5588,-72.5778,,
239,VT,2019,1615,44.5588,-72.5778,,
240,WA,2015,12643,47.7511,-120.74,,
241,WA,2016,13830,47.7511,-120.74,,
242,WA,2017,13223,47.7511,-120.74,,
243,WA,2018,14024,47.7511,-120.74,,
244,WA,2019,14445,47.7511,-120.74,,
245,WI,2015,10378,43.7844,-88.7879,,
246,WI,2016,11926,43.7844,-88.7879,,
247,WI,2017,13577,43.7844,-88.7879,,
248,WI,2018,13474,43.7844,-88.7879,,
249,WI,2019,13618,43.7844,-88.7879,,
250,WV,2015,8230,38.5976,-80.4549,,
251,WV,2016,9617,38.5976,-80.4549,,
252,WV,2017,11836,38.5976,-80.4549,,
253,WV,2018,10965,38.5976,-80.4549,,
254,WV,2019,10046,38.5976,-80.4549,,
255,WY,2015,1229,43.076,-107.29,,
256,WY,2016,1138,43.076,-107.29,,
257,WY,2017,871,43.076,-107.29,,
258,WY,2018,763,43.076,-107.29,,
259,WY,2019,797,43.076,-107.29,,
